Weapon,CrimeId
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",109872
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",612808
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",925802
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",11697
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",119501
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",55341
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",587871
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",974020
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",736710
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",119745
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",82060
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",504657
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",670400
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",516193
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",524676
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",515764
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",668564
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",204225
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",103664
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",968684
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",89140
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",714919
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",276332
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",483947
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",451246
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",199203
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",963342
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",173936
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",363991
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",872590
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",470602
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",650183
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",972006
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",52222
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",723854
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",541940
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",155125
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",606142
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",980087
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",218099
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",145599
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",391154
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",214458
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",652982
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",658978
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",544960
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",368919
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",455680
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",191559
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",749688
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",781792
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",500781
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",691467
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",515601
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",973625
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",566814
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",531551
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",964306
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",940654
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",133037
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",719043
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",581628
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",644069
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",39708
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",365686
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",706813
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",250104
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",682898
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",966353
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",15787
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",2780
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",757068
