VictimId,Age,Gender,Ethnicity
901220,65,M,White
883172,0,X,Unknown
648093,0,X,Unknown
273269,51,M,White
326629,2,M,Hispanic
655886,33,F,White
534260,0,X,Unknown
354109,0,X,Unknown
457473,0,X,Unknown
581654,29,F,Other
694864,0,X,Unknown
888089,9,M,Hispanic
113677,56,M,Hispanic
783200,57,F,White
257905,26,F,Asian
572749,0,X,Unknown
88881,9,F,White
475755,44,F,Hispanic
935251,32,F,White
554435,0,X,Unknown
46269,28,F,Hispanic
788134,83,F,White
544716,54,F,Hispanic
386133,29,M,Other
764651,36,M,Hispanic
513161,31,F,White
621296,63,M,Other
564445,0,X,Unknown
499547,24,F,Black
144273,0,X,Unknown
699265,34,F,White
912186,3,M,White
270515,35,M,Hispanic
368646,0,X,Unknown
717240,67,F,Hispanic
436784,36,F,Hispanic
601509,0,M,Other
167127,4,F,White
700820,41,M,Black
337197,33,M,Hispanic
461997,0,X,Unknown
851472,15,F,Hispanic
91382,37,F,Hispanic
501835,73,F,Other
253365,63,M,Other
825240,15,M,Hispanic
48760,52,F,Hispanic
552650,41,F,Other
